Time,SatelliteIndices
2025-03-06 15:00:00,"6,14,22,88,96"
2025-03-06 15:01:00,"6,14,22,88,96"
2025-03-06 15:02:00,"5,6,14,22,88,96"
2025-03-06 15:03:00,"5,6,14,22,88,96"
2025-03-06 15:04:00,"5,6,13,14,22,88,96"
2025-03-06 15:05:00,"5,6,13,14,88,96"
2025-03-06 15:06:00,"5,6,13,88,96"
2025-03-06 15:07:00,"5,13,88,96"
2025-03-06 15:08:00,"5,13,21,96"
2025-03-06 15:09:00,"5,13,21,95,96"
2025-03-06 15:10:00,"5,13,21,95,96"
2025-03-06 15:11:00,"5,13,21,87,95,96"
2025-03-06 15:12:00,"5,13,21,87,95"
2025-03-06 15:13:00,"5,13,21,87,95"
2025-03-06 15:14:00,"5,13,21,87,95"
2025-03-06 15:15:00,"5,13,21,87,95"
2025-03-06 15:16:00,"4,5,13,21,87,95"
2025-03-06 15:17:00,"4,5,12,13,21,87,95"
2025-03-06 15:18:00,"4,5,12,13,21,87,95"
2025-03-06 15:19:00,"4,5,12,13,87,95"
2025-03-06 15:20:00,"4,5,12,20,95"
2025-03-06 15:21:00,"4,12,20,95"
2025-03-06 15:22:00,"4,12,20,95"
2025-03-06 15:23:00,"4,12,20,94,95"
2025-03-06 15:24:00,"4,12,20,94,95"
2025-03-06 15:25:00,"4,12,20,94"
2025-03-06 15:26:00,"4,12,20,94"
2025-03-06 15:27:00,"4,12,20,86,94"
2025-03-06 15:28:00,"4,12,20,86,94"
2025-03-06 15:29:00,"3,4,12,20,86,94"
2025-03-06 15:30:00,"3,4,11,12,20,86,94"
2025-03-06 15:31:00,"3,4,11,12,20,94"
2025-03-06 15:32:00,"3,4,11,12,20,94"
2025-03-06 15:33:00,"3,4,11,12,19,94"
2025-03-06 15:34:00,"3,11,19,94"
2025-03-06 15:35:00,"3,11,19,94"
2025-03-06 15:36:00,"3,11,19,94"
2025-03-06 15:37:00,"3,11,19,93,94"
2025-03-06 15:38:00,"3,11,19,93"
2025-03-06 15:39:00,"3,11,19,93"
2025-03-06 15:40:00,"3,11,19,27,93"
2025-03-06 15:41:00,"3,11,19,27,93"
2025-03-06 15:42:00,"3,11,19,27,93"
2025-03-06 15:43:00,"2,3,10,11,19,93"
2025-03-06 15:44:00,"2,3,10,11,19,93"
2025-03-06 15:45:00,"2,3,10,11,19,93"
2025-03-06 15:46:00,"2,3,10,11,18,19,93"
2025-03-06 15:47:00,"2,3,10,11,18,93"
2025-03-06 15:48:00,"2,10,18,93"
2025-03-06 15:49:00,"2,10,18,93"
2025-03-06 15:50:00,"2,10,18,93"
2025-03-06 15:51:00,"2,10,18,26,92"
2025-03-06 15:52:00,"2,10,18,26,92"
2025-03-06 15:53:00,"2,10,18,26,92"
2025-03-06 15:54:00,"2,10,18,26,92"
2025-03-06 15:55:00,"2,10,18,26,92"
2025-03-06 15:56:00,"2,10,18,26,92"
2025-03-06 15:57:00,"1,2,9,10,18,26,92"
2025-03-06 15:58:00,"1,2,9,10,18,26,92"
2025-03-06 15:59:00,"1,2,9,10,17,18,92"
2025-03-06 16:00:00,"1,2,9,10,17,18,92"
